"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2024","106.039","105.780","106.150","105.400","18.95K","0.32%"
"12/05/2024","105.701","106.305","106.360","105.685","19.94K","-0.55%"
"12/04/2024","106.290","106.425","106.700","106.065","21.10K","-0.05%"
"12/03/2024","106.340","106.460","106.580","106.065","20.93K","-0.08%"
"12/02/2024","106.423","105.820","106.725","105.820","24.59K","0.56%"
"11/29/2024","105.828","105.995","106.120","105.595","18.98K","-0.21%"
"11/28/2024","106.048","106.205","106.395","106.085","6.93K","0.00%"
"11/27/2024","106.048","106.800","106.890","105.815","24.31K","-0.86%"
"11/26/2024","106.968","107.410","107.470","106.460","20.60K","0.19%"
"11/25/2024","106.770","106.975","107.215","106.535","21.67K","-0.69%"
"11/22/2024","107.507","107.005","108.070","106.885","28.26K","0.54%"
"11/21/2024","106.930","106.555","107.115","106.410","23.07K","0.29%"
"11/20/2024","106.616","106.110","106.865","106.075","18.29K","0.45%"
"11/19/2024","106.143","106.180","106.570","106.035","18.17K","-0.05%"
"11/18/2024","106.201","106.705","106.750","106.065","18.11K","-0.39%"
"11/15/2024","106.615","106.820","106.855","106.255","20.47K","0.02%"
"11/14/2024","106.598","106.420","106.990","106.295","22.65K","0.21%"
"11/13/2024","106.379","105.965","106.440","105.625","23.94K","0.40%"
"11/12/2024","105.950","105.405","106.100","105.400","16.61K","0.47%"
"11/11/2024","105.457","104.955","105.610","104.830","16.78K","0.54%"
"11/08/2024","104.890","104.340","105.105","104.240","19.80K","0.50%"
"11/07/2024","104.370","105.125","105.175","104.085","31.84K","-0.59%"
"11/06/2024","104.985","104.110","105.345","103.960","52.56K","1.61%"
"11/05/2024","103.324","103.820","103.870","103.285","11.33K","-0.45%"
"11/04/2024","103.790","103.780","103.890","103.495","14.67K","-0.40%"
"11/01/2024","104.203","103.800","104.265","103.445","21.85K","0.31%"
"10/31/2024","103.878","104.000","104.110","103.705","27.93K","0.02%"
"10/30/2024","103.862","104.125","104.320","103.850","24.45K","-0.32%"
"10/29/2024","104.191","104.130","104.515","104.090","21.33K","0.01%"
"10/28/2024","104.183","104.280","104.445","103.990","17.17K","0.05%"
"10/25/2024","104.132","103.910","104.205","103.800","13.65K","0.20%"
"10/24/2024","103.919","104.300","104.310","103.870","23.46K","-0.34%"
"10/23/2024","104.277","103.925","104.410","103.925","21.16K","0.35%"
"10/22/2024","103.909","103.800","103.950","103.655","18.59K","0.07%"
"10/21/2024","103.834","103.320","103.845","103.245","16.34K","0.51%"
"10/18/2024","103.307","103.590","103.620","103.280","16.28K","-0.33%"
"10/17/2024","103.652","103.345","103.695","103.255","18.48K","0.24%"
"10/16/2024","103.400","103.070","103.415","102.965","18.94K","0.33%"
"10/15/2024","103.055","102.995","103.145","102.825","16.98K","-0.03%"
"10/14/2024","103.082","102.700","103.150","102.700","15.85K","0.39%"
"10/11/2024","102.677","102.670","102.780","102.555","9.52K","-0.09%"
"10/10/2024","102.773","102.665","102.965","102.475","27.19K","0.08%"
"10/09/2024","102.695","102.245","102.705","102.220","20.35K","0.38%"
"10/08/2024","102.303","102.245","102.415","102.050","22.35K","0.00%"
"10/07/2024","102.301","102.315","102.380","102.125","29.01K","0.03%"
"10/04/2024","102.275","101.685","102.450","101.580","33.66K","0.52%"
"10/03/2024","101.750","101.405","101.890","101.405","29.92K","0.32%"
"10/02/2024","101.425","101.005","101.440","100.890","23.49K","0.49%"
"10/01/2024","100.931","100.485","101.135","100.435","23.21K","0.41%"
"09/30/2024","100.521","100.220","100.665","99.900","21.48K","0.41%"
"09/27/2024","100.109","100.325","100.610","99.865","23.87K","-0.14%"
"09/26/2024","100.246","100.660","100.680","100.180","21.45K","-0.38%"
"09/25/2024","100.624","99.970","100.705","99.915","18.31K","0.46%"
"09/24/2024","100.159","100.650","100.770","100.035","25.82K","-0.40%"
"09/23/2024","100.560","100.460","100.940","100.435","23.44K","0.14%"
"09/20/2024","100.423","100.390","100.735","100.125","24.45K","0.10%"
"09/19/2024","100.321","100.710","101.180","100.220","34.73K","0.04%"
"09/18/2024","100.282","100.595","100.835","99.885","43.47K","-0.28%"
"09/17/2024","100.567","100.380","100.690","100.240","17.18K","-0.14%"
"09/16/2024","100.711","101.035","101.035","100.635","0.27K","-0.40%"
"09/13/2024","101.120","101.180","101.185","100.885","7.85K","-0.23%"
"09/12/2024","101.351","101.760","101.830","101.225","23.24K","-0.30%"
"09/11/2024","101.658","101.630","101.805","101.240","27.57K","0.06%"
"09/10/2024","101.598","101.630","101.740","101.515","10.70K","0.08%"
"09/09/2024","101.518","101.145","101.665","101.105","25.49K","0.37%"
"09/06/2024","101.143","101.010","101.365","100.525","35.05K","0.07%"
"09/05/2024","101.074","101.235","101.335","100.915","15.79K","-0.22%"
"09/04/2024","101.301","101.645","101.725","101.180","14.22K","-0.46%"
"09/03/2024","101.766","101.615","101.855","101.460","16.67K","0.14%"
"09/02/2024","101.624","101.650","101.725","101.505","4.90K","0.00%"
"08/30/2024","101.624","101.260","101.715","101.165","14.85K","0.35%"
"08/29/2024","101.270","100.960","101.510","100.810","14.75K","0.28%"
"08/28/2024","100.990","100.505","101.075","100.505","13.68K","0.53%"
"08/27/2024","100.455","100.765","100.825","100.400","15.22K","-0.28%"
"08/26/2024","100.741","100.585","100.815","100.425","11.83K","0.13%"
"08/23/2024","100.606","101.365","101.475","100.485","24.72K","-0.78%"
"08/22/2024","101.399","101.015","101.505","100.935","15.29K","0.48%"
"08/21/2024","100.910","101.260","101.555","100.780","16.39K","-0.38%"
"08/20/2024","101.299","101.715","101.860","101.225","13.49K","-0.42%"
"08/19/2024","101.731","102.210","102.330","101.700","12.23K","-0.56%"
"08/16/2024","102.307","102.875","102.895","102.230","9.38K","-0.49%"
"08/15/2024","102.808","102.435","103.070","102.375","12.27K","0.41%"
"08/14/2024","102.385","102.425","102.535","102.100","13.04K","0.00%"
"08/13/2024","102.380","102.915","103.100","102.360","12.00K","-0.56%"
"08/12/2024","102.961","102.930","103.130","102.910","7.16K","0.00%"
"08/09/2024","102.957","103.085","103.110","102.845","8.90K","-0.06%"
